id,is_this_posting_relevant_to_sentiment_that_you_can_perform_annotation_,what_is_the_authors_sentiment_feeling_throughout_the_post_,classify,text_cleaned,text_origin,tweetid,tweeturl
5483994291,yes,A,angry,bestest talented amazing funny good hearted fashionable rich always bop music face_with_steam_from_nose face_with_steam_from_nose face_with_steam_from_nose face_with_steam_from_nose,Bestest  talented   amazing  funny  good hearted  fashionable  rich and always do bop music.  😤😤😤😤  @weareoneEXO https://t.co/5HsosWqHhH,1231009614684020000,https://twitter.com/barking_mr/statuses/1231009614684020736
5483983788,no,,angry,yup picked two angry bois auckland got rogenrola volbeat dweble durant yet,@kittychix Yup! Picked up two of those angry bois while in Auckland.  Got a roggenrola  volbeat  dwebble or durant yet?,1231009610569400000,https://twitter.com/WriteLeeWrite/statuses/1231009610569404417
5483990267,no,,angry,daddy 3yr anniversary march 6 fstw since february 6 wozy_face really hate time year fr face_with_steam_from_nose losing parent worst feeling,My daddy 3yr anniversary March 6 and I been fstw since February 6 🥴 I really hate this time of the year fr. 😤 losing a parent is the worst feeling!,1231009549060130000,https://twitter.com/lultrinaaa_/statuses/1231009549060132865
5484009925,yes,A,angry,trump tariffs understand tarifs paid exporter importer citizens combination sources oh fed paid cost question_mark citizens always pay pouting_face thumbs_down exclamation_mark,@TheRickWilson @MSNBC @BillKristol @RWPUSA @CNN @maddow @davidfrum  TRUMP’S TARIFFS. As I understand it  tarrifs are paid by the Exporter  Importer  Citizens  or some combination of those sources. Oh the Fed is paid  but at what cost and to Who❓ We citizens always pay😡👎❗️,1231009543724790000,https://twitter.com/12SoWhatever/statuses/1231009543724785664
5483999907,yes,A,angry,sure getting sick catching 30 day bans memes sharing facebok pages happened less censorship 30 day ban joke middle_finger face_with_steam_from_nose middle_finger,I sure am getting sick of catching 30 day bans on @Facebook for memes THAT I'M SHARING FROM FACEBOOK PAGES. And what happened to less censorship? 30 day ban for a joke. 🖕😤🖕,1231009540323320000,https://twitter.com/carnageisgolden/statuses/1231009540323319809
5483997696,yes,A,angry,doesnt pushes people away get close hes fat meanie pouting_face pouting_face,@MeatyMarley He doesnt he pushes people away if they get too close hes a fat meanie 😡😡,1231009538167450000,https://twitter.com/yes__lad/statuses/1231009538167447554
5483998618,yes,A,angry,hate twitter real shit thought lizo getting jumped face_with_steam_from_nose face_with_steam_from_nose face_with_steam_from_nose,I hate twitter I real shit thought lizzo was out here getting jumped😤😤😤 https://t.co/rVg4jXnyBk,1231009534275200000,https://twitter.com/chanelmarceI/statuses/1231009534275203073
5483983792,no,,angry,pairs nicely nick 'let make trae angry destroys heat take,@ekoreen That pairs nicely with Nick's 'Let's make Trae angry so he destroys the heat' take.,1231009530403790000,https://twitter.com/chrispbridgen/statuses/1231009530403790848
5483983794,yes,A,angry,ima call tomorrow grimacing_face bills “ need get make money grow tf face_with_symbols_on_mouth face_with_steam_from_nose,Me: Imma just call off tomorrow 😬  My Bills: “NO WHAT YOU NEED TO DO IS GET OUT HERE AND MAKE THIS MONEY AND GROW TF UP 🤬😤 https://t.co/JWreHDimDC,1231009529833220000,https://twitter.com/xo1345/statuses/1231009529833218049
5483976759,yes,A,angry,i'hv ur fan since comedy circus watched rewatched ur shows amp u making fun country amp makes angry honestly mad cuz liked u people amp watch ur shows vile content,@KapilSharmaK9 i'hv been ur fan since comedy circus! Watched and rewatched all ur shows again &amp; again! U making fun of my country with @ChunkyThePanday &amp; @apshaha makes me so angry! But honestly I'm more mad at myself cuz i liked u people &amp; watch ur shows with some vile content!,1231009525420810000,https://twitter.com/naharmeem/statuses/1231009525420814336
5483979051,yes,A,angry,illinoisans know corrupt want back crook stayed jail pouting_face pouting_face pouting_face pouting_face pouting_face pouting_face pouting_face,@renato_mariotti And we Illinoisans know he was corrupt. We don’t want him back. He’s a crook and should have stayed in jail!!!! 😡😡😡😡😡😡😡,1231009525190320000,https://twitter.com/lorik268/statuses/1231009525190316036
5483982051,yes,A,angry,100 understand sarah hurt angry shows loser anger wins keep kids move forward would never let kids go hotel somebody know either loveafterlockup,I 100% understand why Sarah is hurt and angry  but when she shows that loser her anger  he wins. Just keep it about kids and move forward. I would never let my kids go to hotel with somebody I don't know either #loveafterlockup https://t.co/yE7vmCKdHX,1231009517929980000,https://twitter.com/mzaliz/statuses/1231009517929975808
5483982049,no,,fear,eliminan escena de suicidio de hanah baker en 13 reasons -- gt face_screaming_in_fear television eyes flushed_face,Eliminan escena de suicidio de Hannah Baker en 13 Reasons Why --&gt; https://t.co/kbNuqDqIDQ 😱📺👀😳 https://t.co/nzh95EDeJM,1231009565350780000,https://twitter.com/RevistaTUmx/statuses/1231009565350780928
5483980506,no,,fear,subscribe ryback tv current lineup conversation big guy ryback feeding time ryback heat mark furlife wining ryback boozing big guy feed fitness ryback dies asmr courage fear amp,Subscribe to Ryback TV https://t.co/hJsOAMtY8F Here's our current lineup: Conversation With The Big Guy Ryback  Feeding Time  Ryback Has Heat  Mark Furlife  Wining With The Ryback  Boozing With The Big Guy  Feed Me More Fitness  Ryback Dies ASMR  Courage Over Fear &amp; MORE! https://t.co/LEPDo5SOBq,1231009550180000000,https://twitter.com/RybackTV/statuses/1231009550180003840
5483990272,yes,F,fear,cancer road trip right diagnosis treatment fear hope handle sign stay loop winning healing retreat cancersucks travelheals could use break check,Cancer is a road trip in its own right! Diagnosis  treatment  fear and hope. How do you handle it all? Sign up to stay in the loop on winning a healing retreat.  #CancerSucks but #TravelHeals Could you use a break? https://t.co/g9neYwukdp Check it out. https://t.co/BuvYnJlrEI,1231009539375370000,https://twitter.com/anticancerclub/statuses/1231009539375366145
5483982053,no,,fear,posted picture awhile never fear still troll sparkles,I haven’t posted a picture of myself in awhile but never fear  I’m still a troll ✨,1231009533339760000,https://twitter.com/yaotl_59/statuses/1231009533339762688
5483994287,yes,S,fear,god preach hate judgement fear organized religion think mafia soul,God doesn’t preach hate  judgement or fear. That’s organized religion think of it as the mafia to your soul.,1231009529795660000,https://twitter.com/DivineTemptati1/statuses/1231009529795661825
5483980512,yes,F,fear,thats point even tho fear others rest fear also human thing cameron said fearless wants take literally ambiguity general 99 means 100,@DMrkunst @challengerST @AGnazzitto @CourtZ022 @AlitaArmy But thats the point even tho you fear for others more than for yourself. There is some rest fear also for yourself. That is human. But thing is when Cameron said she is fearless he wants you to take him literally. No ambiguity about that. No in general or 99%. He means that 100%.,1231009529430760000,https://twitter.com/Foxfire40900590/statuses/1231009529430757376
5483982045,yes,A,fear,even watch news pure idiots running media sick russia democrat congress obsession fear gravy train dry trump one working came debate pitiful blomberg looked terrified harlankentucky,Can’t even watch News  We have pure idiots running Media!  Sick of Russia! Democrat Congress Obsession or fear their GRAVY TRAIN will dry up! Trump Only One Working! This is what it’s came to! The Debate was pitiful  Bloomberg looked terrified! HarlanKentucky,1231009528185020000,https://twitter.com/clairstines1/statuses/1231009528185020416
5483976757,yes,H,fear,tweeted something similar alchemist one many reasons friends relieved_face raised_fist one thing makes dream impossible achieve fear failure -the alchemist,@seanlizama I tweeted something similar from The Alchemist. One of the many reasons we are friends 😌✊  There is only one thing that makes a dream impossible to achieve: the fear of failure. -The Alchemist,1231009516424030000,https://twitter.com/sherbear_gu/statuses/1231009516424032256
5483985230,yes,A,fear,democrats behaving without fear reprisals gop continues bend take disgusting lack activism designed convince democrats republicans done abused,@LarsLarsonShow Democrats are behaving without fear of reprisals. The GOP just continues to bend over and take it. Disgusting lack of activism designed to convince Democrats that Republicans are done being abused.,1231009505774840000,https://twitter.com/daneshaddy/statuses/1231009505774841856
5483982044,no,,fear,russia dealings trump hillary see pictures bernie taken putin ever seen evidence collusion except fear mongering dnc,@KashJackson2018 @BernieSanders Russia has had more dealings with Trump and Hillary. I don't see any pictures of Bernie taken with Putin nor have I ever seen any evidence of any collusion except from the fear mongering of the DNC. https://t.co/0nsZohcg4j,1231009503199410000,https://twitter.com/Underdawg47/statuses/1231009503199412225
5483980513,yes,F,fear,also insecurity fear principlesfirst folks denigrate anybody believe orangemanbad conservatism hypocrisy,@BamaStephen @EWErickson @HeathMayo Is it also insecurity and fear in the PrinciplesFirst folks when they denigrate anybody that doesn't believe in OrangeManBad conservatism? Or is it just hypocrisy?,1231009501752560000,https://twitter.com/SamMarlow79/statuses/1231009501752561665
5483994304,yes,F,fear,el-o-el asking sea honeybee cuz et hit close home used dreams regularly big wave earthquakes et en time full fear nowadays see worries 13 love auntie anne sun,@AnneP4NuEarth @EldaySahara El-o-El asking the other sea 🐝cuzz et hit close to home  I used to have dreams regularly about big wave and earthquakes. Et was en a time when I was full of fear  nowadays I see through and have no worries  13 love auntie Anne ☀️,1231009466717360000,https://twitter.com/WalkerMaxfield/statuses/1231009466717364224
5483998615,yes,S,fear,suppose might everybody among awesome things realest hilarious depiction depression ever seen woman-coded characters get great story arcs bojack definitely get scot-fre,@karenmcgrane I suppose it might not be for everybody  but it is  among other awesome things  the realest and most hilarious depiction of depression I’ve ever seen. The woman-coded characters get great story arcs  and BoJack definitely doesn’t get off scot-free.,1231009437172810000,https://twitter.com/IBlame/statuses/1231009437172805633
5483979042,yes,F,fear,gives goosebumps arowskincenter jack-o-lantern skull_and_crossbones face_screaming_in_fear ghost ogre halloween staten island new york,This gives me goosebumps too arrowskincenter . 🎃☠️😱👻👹 #halloween @ Staten Island  New York https://t.co/Fl9r8XDMQB,1231009431279690000,https://twitter.com/IslandAesthie/statuses/1231009431279689728
5483996384,yes,S,fear,remember day diagnosed depression anxiety bulimia doctor talk psychiatrist twice month talking made anxiety worse got prescribed antidepressants thought made feel better,I remember the day I was diagnosed with depression  anxiety and bulimia and the doctor had me talk to psychiatrist twice a month and then talking to her made my anxiety worse and got prescribed with antidepressants which I thought made me feel better but,1231009426238100000,https://twitter.com/jascarrr/statuses/1231009426238099458
5483976762,yes,E,fear,shrink back keep eyes straight ahead upon lord proceed shoulder shoulder hold front line fierce audacity unmatched even walk thru valley shadow death fear evil,We do not shrink back We keep our eyes straight ahead upon the Lord We proceed shoulder to shoulder We hold up those on the front line with a fierce audacity that is unmatched Even if we walk thru the valley of the shadow of death  We will fear no evil!,1231009425306960000,https://twitter.com/CzebotarJessie/statuses/1231009425306963973
5483985218,no,,fear,talking mom depression fantasy super learning reality ibs blocked staircase washroom till gave word take online module course,talking to my mom about my depression:  fantasy: she is super into learning more  reality: she has ibs and I blocked off the staircase to the washroom till she gave her word to take an online module course,1231009422975090000,https://twitter.com/FancyBaeBae/statuses/1231009422975086594
5483982048,no,,fear,clinical depression seasonal depression premenstrual depression one weepy brittany,Clinical depression + seasonal depression + premenstrual depression = one weepy Brittany,1231009411906380000,https://twitter.com/Brittany8594/statuses/1231009411906383873
5483980505,no,,fear,part would agree assessment sister law stepson religious zealots kind friend whole animal truthfully confounded say fear ill health dementia may point,@maravillage44 For the most part  I would agree with that assessment. My sister in law and stepson are the religious zealots kind.   But my friend is a whole other animal. Truthfully  I'm confounded. Those who say it's fear  ill health and dementia may be more on point.,1231009411612770000,https://twitter.com/rise_alien/statuses/1231009411612774402
5483994279,yes,F,fear,time fear hiding trembling warriors day come raise voices heard unto farthest reaches earth ...,There is no time for fear No more hiding and trembling Warriors  our day has come Raise your voices until they are heard unto the farthest reaches of the earth...,1231009411537090000,https://twitter.com/CzebotarJessie/statuses/1231009411537092610
5483998613,yes,H,happy,oh duh huge development somehow spaced woman_facepalming yes course loudly_crying_face smiling_face_with_3_hearts pleading_face smiling_face_with_3_hearts loudly_crying_face happy played part crystallising joyous lovely thing loudly_crying_face,@stillicides OH! Duh  that huge development I somehow spaced on there🤦‍♀️ Yes of course!  😭🥰🥺🥰😭  I am so so happy it played a part in crystallising such a joyous lovely thing for you!!! 😭,1231009439974670000,https://twitter.com/nimbus_nought/statuses/1231009439974674434
5483996372,yes,S,happy,writing_hand 1 corinthians 3 7 neither planteth thing neither watereth butgod giveth increase blossom blossom blossom blossom blossom blossom blossom blossom blossom blossom blossom blossom bless showers revelation blessings justice amp worth worthy lord thank face_blowing_a_kis holyspiritjesuschrist raising_hands,✍️1 Corinthians 3:7 So then neither is he that planteth any thing  neither he that watereth #BUTGod that #GIVETH the #INCREASE🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼  #BLESS #SHOWERS #REVELATION #BLESSINGS YOUR #JUSTICE &amp;YOUR #WORTH For YOU Are #WORTHY LORD  Thank YOU 😘#HolySpiritJesusChrist🙌,1231009439228090000,https://twitter.com/1Corinthians126/statuses/1231009439228088323
5483990263,yes,F,happy,really anything anymore kinda wana fade existence much bare acting happy becoming mentally taxing sad around taxing believe get better learn accept move,Not really anything anymore kinda just wana fade out of existence this is to much to bare  acting happy is becoming mentally taxing and being sad is all around taxing i don't believe it get's better i just learn to accept and move on https://t.co/aDkZHxGVwc,1231009438812730000,https://twitter.com/yukisamuraix/statuses/1231009438812733440
5483999906,yes,H,happy,amazing adorable dyani huging_face also happy grateful able say wanted tell person_gesturing_OK red_heart thank wonderful chance smiling_face_with_smiling_eyes,@Dy4ni_Robles @KevanKenney You were amazing and adorable Dyani! 🤗 I'm also very happy and grateful you were able to say what we've wanted to tell them 🙆❤ @OfficialMonstaX  Thank you too @KevanKenney for this wonderful chance! 😊,1231009438670080000,https://twitter.com/marcsisism/statuses/1231009438670082054
5483999904,yes,H,happy,happy beth strong girl hope speedy recovery sending love two_hearts two_hearts,@Bethvthomas So happy for you Beth! Such a strong girl  hope you have a speedy recovery and sending all my love 💕💕,1231009436807860000,https://twitter.com/rosiesutton/statuses/1231009436807856134
5483998612,yes,P,happy,happy birthday papi much love impact lives people like us well felt way positioned greatness still self_batling fun egbon well,Happy birthday to you #Papi much love. The impact you have had and will have in the lives of people like us is well felt and the way you have positioned yourself for greatness is still self_battling. Have fun egbon. You are doing well https://t.co/lUHOSv3nJP,1231009391933030000,https://twitter.com/iam_toluano/statuses/1231009391933034497
5483976758,no,,happy,hope never watched movie online without paying sung happy birthday last couple years,@Hopper_Atl @SenSanders Hope you never watched a movie online without paying  or sung Happy birthday before the last couple years.,1231009391874390000,https://twitter.com/Skell20XX/statuses/1231009391874387968
5483999897,yes,S,happy,today supposed happy day feeling sad rn bruh really hate sometimes,today was supposed to be a happy day so why am i feeling so sad rn bruh i really hate myself sometimes,1231009380436500000,https://twitter.com/jungyulr/statuses/1231009380436496385
5483997703,no,,happy,dude board hundred_points could get mani/pedi massage every week afford ... .yet grining_face,@BlkMoneyDotCom Dude - I'm on board 💯 I could get a Mani/pedi and a massage every week. Just can't afford it....yet. 😀,1231009367522270000,https://twitter.com/I_Make_Lemonade/statuses/1231009367522267137
5483983790,yes,A,happy,disappointed failure defend neil cavuto lame comments indefensible richard fowler one defend cavuto adequately embarrassment fox news used happy filled martha,@EdHenryNews So disappointed in you for your failure to defend Neil Cavuto.  Your lame comments about him were indefensible.  That Richard Fowler was the only one to defend Cavuto adequately is an embarrassment to Fox News.  I used to be happy when you filled in for Martha.,1231009365227800000,https://twitter.com/JensonKathleen/statuses/1231009365227798528
5483976760,yes,P,happy,happy nirthday congressman john lewis actsomoco excellence,Happy Nirthday Congressman John Lewis  #actsomoco #Excellence https://t.co/kjjHp08rva,1231009364799940000,https://twitter.com/ACTSOMOCO/statuses/1231009364799942656
5483997704,yes,E,happy,happy birthday pusa sb19atpepsicebu morhot10 alab sb19,@jahstin22 @mor1019 @SB19Official HAPPY BIRTHDAYY PUUUUSAAA  #SB19atPepsiCebu    #MORHot10 Alab by SB19 @mor1019 @SB19Official,1231009362723820000,https://twitter.com/BbySijon/statuses/1231009362723819520
5483994310,yes,H,happy,happy weekend jack run oi shiny handmade jewellery touch magic free international shipping included orders,@RReviews_blog Happy weekend! I'm Jack and I run Oi  Shiny! - handmade jewellery with a touch of magic. https://t.co/rCPRf4JcXP  Free international shipping included on all orders. https://t.co/Bu2edIURAy,1231009361478280000,https://twitter.com/OiShinyThings/statuses/1231009361478275072
5483998610,yes,H,happy,mom recently married big family brothers sisters im happy love accept nothing compares feeling,my mom recently married into a big family and now i have brothers and sisters and im just so happy they love me and accept me as their own. nothing compares to this feeling :    ),1231009358474920000,https://twitter.com/cmonjose/statuses/1231009358474924032
5483982043,yes,A,happy,hell becoming something see every day affiliates happy someone position working toward kind enough share community built bring fresh eyes channel smh man,@TravisShreffler Why the hell is this becoming something I see every day? Affiliates should be happy that someone  who is in a position they themselves are working toward  is kind enough to share the community THEY built with them and bring fresh eyes to their channel. Smh man,1231009358001030000,https://twitter.com/parthene0n/statuses/1231009358001033216
5483980509,yes,P,happy,huge shoutout happy birthday one important staples eh even joined team 2018 honora crucial part many lives endless flow humor work ethic seed many wonderful long-lasting relationships purple_heart,Huge shoutout AND happy birthday to one of the most important staples of EH before she even joined the team in 2018  Honora. You've been a crucial part to so many lives with your endless flow of humor and work ethic. The seed to so many wonderful long-lasting relationships 💜 https://t.co/bmv2gmnRlM,1231009356218590000,https://twitter.com/DarielTL/statuses/1231009356218589184
5483997706,yes,H,happy,little brother know feeling happy read tweets lately semoga bahagia terus okay blessed,@terharmoni little brother. i don't know why but i am feeling so happy read all your tweets lately. semoga bahagia terus! okay? you are blessed,1231009355195010000,https://twitter.com/beybikiy/statuses/1231009355195011072
5483996382,yes,S,happy,another joy human centipede stole pensive_face,Just another joy that The Human Centipede stole from me 😔 https://t.co/kGDF5PEWE2,1231009352884140000,https://twitter.com/miallewellyn/statuses/1231009352884137984
5483990253,yes,H,happy,jena baby shes named rosie robert love much im happy,JENNA HAD HER BABY AND SHES NAMED ROSIE ROBERT I LOVE THEM SO MUCH IM SO HAPPY!!!!,1231009351344760000,https://twitter.com/theciarapark/statuses/1231009351344762881
5483997705,yes,H,happy,mom sister get sunday jimie jones gets monday happy pleading_face yelow_heart,my mom and sister get her sunday  jimmie jones gets here monday and i’m so happy 🥺💛,1231009350992270000,https://twitter.com/HarriaMendoza/statuses/1231009350992269312
5483985219,yes,E,pleasant,nature wall art workshop open registration designed adult artists ’ skill love art want fun expanding artistic painting abilities join us laid back fun evening sat mar 28 6 0-9 0 pm artist_palete slightly_smiling_face,Nature Wall Art Workshop is open for registration!  This is designed for adult artists’ of ANY skill who love art and want to have fun expanding their artistic painting abilities! join us for a laid back and fun evening on Sat  Mar 28 6:00-9:00 pm. https://t.co/dDZV7b7sOI 🎨🙂 https://t.co/HlVfyLpQ84,1231009360081560000,https://twitter.com/check_katie/statuses/1231009360081555457
5483996378,yes,S,pleasant,day 3 4 sick think plague soon take upside-down_face,Day 3 or 4 of being sick  I think this plague will soon take me. 🙃 https://t.co/tlopIMpNbl,1231009340087300000,https://twitter.com/LouTwoShoes/statuses/1231009340087296002
